time,student,gender,age,university,job,country,heard,ethical,assignment,learning,agree,other
2/18/2023 12:16:31,Yes,Female,15-22 years old,Undergraduate Student,Self-employed,Canada,Yes,Yes,Yes,Yes,Neutral,"Researching difficult questions, Programming assignments"
2/18/2023 12:55:30,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,No,No,Agree,Programming assignments
2/18/2023 13:03:00,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,Yes,Yes,Agree,"Researching difficult questions, Self Teaching"
2/18/2023 13:03:14,Yes,Female,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,Yes,No,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 13:17:26,Yes,Male,15-22 years old,Undergraduate Student,Student,USA,Yes,Yes,Yes,Yes,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 13:17:29,Yes,Male,15-22 years old,Undergraduate Student,Student,USA,Yes,Yes,Yes,Yes,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 13:59:01,Yes,Female,23-30 years old,Undergraduate Student,Student,Canada,Yes,No,No,Yes,Disagree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 14:16:30,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,No,No,No,No,Agree,Programming assignments
2/18/2023 14:21:46,Yes,Male,15-22 years old,Undergraduate Student,Employed part-time (less than 40 hours a week),Canada,Yes,No,No,No,Strongly agree,Anything
2/18/2023 14:26:08,Yes,Female,23-30 years old,Undergraduate Student,Student,Canada,Yes,No,Yes,Yes,Disagree,"Researching difficult questions, Debates and discussions"
2/18/2023 14:43:36,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,Yes,No,Yes,No,Strongly agree,Researching difficult questions
2/18/2023 14:43:41,Yes,Male,23-30 years old,Undergraduate Student,Student,Canada,Yes,Yes,No,,Agree,"Researching difficult questions, Probably completing small hwk assignments. I don't think that benefits long-term learning. Communication skills will definitely tank. "
2/18/2023 14:46:06,Yes,Female,23-30 years old,Undergraduate Student,Employed part-time (less than 40 hours a week),Canada,No,No,No,No,Agree,"Researching difficult questions, Debates and discussions"
2/18/2023 14:59:20,Yes,Male,23-30 years old,Graduate Student,Employed part-time (less than 40 hours a week),Canada,Yes,Yes,No,Yes,Neutral,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 15:07:47,Yes,Female,15-22 years old,Undergraduate Student,Student,Canada,Yes,No,No,Yes,Neutral,"Researching difficult questions, Programming assignments"
2/18/2023 15:22:40,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,No,No,Strongly disagree,"Researching difficult questions, Debates and discussions"
2/18/2023 15:23:49,Yes,Male,15-22 years old,Undergraduate Student,Student,Other,Yes,Yes,No,Yes,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 15:29:15,Yes,Female,15-22 years old,Undergraduate Student,Student,Canada,Yes,No,No,No,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 15:29:52,Yes,Female,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,No,Yes,Agree,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 15:30:11,Yes,Female,23-30 years old,Undergraduate Student,Self-employed,Canada,Yes,Yes,No,Yes,Agree,Debates and discussions
2/18/2023 15:45:49,Yes,Female,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,Yes,Yes,Neutral,"Researching difficult questions, Debates and discussions, Programming assignments"
2/18/2023 15:48:53,Yes,Male,15-22 years old,Undergraduate Student,Student,Canada,Yes,Yes,No,Yes,Agree,"Researching difficult questions, Debates and discussions"
